id,label,category,severity,message,code
sample_0000,vulnerability,sql_injection,critical,SQL Injection: String concatenation used in SQL query. Use parameterized queries.,"def get_user(username):
    query = ""SELECT * FROM users WHERE username = '"" + username + ""'""
    cursor.execute(query)
    return cursor.fetchone()"
sample_0001,vulnerability,sql_injection,critical,SQL Injection: f-string interpolation in SQL query is dangerous.,"def search_products(name, category):
    sql = f""SELECT * FROM products WHERE name LIKE '%{name}%' AND category='{category}'""
    db.execute(sql)
    return db.fetchall()"
sample_0002,vulnerability,sql_injection,critical,SQL Injection: Dynamic table name and record_id via concatenation. Use allowlists for table names.,"def delete_record(table, record_id):
    query = ""DELETE FROM "" + table + "" WHERE id = "" + str(record_id)
    conn.execute(query)
    conn.commit()"
sample_0003,vulnerability,sql_injection,critical,SQL Injection in login: classic OR 1=1 attack vector. Use parameterized queries and password hashing.,"@app.route('/login', methods=['POST'])
def login():
    user = request.form['user']
    pwd  = request.form['password']
    res  = db.execute(""SELECT * FROM users WHERE user='"" + user + ""' AND password='"" + pwd + ""'"")
    if res.fetchone():
        return redirect('/dashboard')
    return 'Invalid credentials', 401"
sample_0004,vulnerability,sql_injection,critical,SQL Injection: Dynamic query building with string concatenation.,"def get_orders(user_id, status=None):
    base = ""SELECT * FROM orders WHERE user_id="" + str(user_id)
    if status:
        base += "" AND status='"" + status + ""'""
    return db.execute(base).fetchall()"
sample_0005,clean,sql_injection,none,Parameterized query used correctly.,"def get_user(username):
    query = ""SELECT * FROM users WHERE username = %s""
    cursor.execute(query, (username,))
    return cursor.fetchone()"
sample_0006,clean,sql_injection,none,Safe parameterized query building.,"def get_orders(user_id, status=None):
    params = [user_id]
    base = ""SELECT * FROM orders WHERE user_id = %s""
    if status:
        base += "" AND status = %s""
        params.append(status)
    return db.execute(base, params).fetchall()"
sample_0007,clean,sql_injection,none,ORM-based query is safe from SQL injection.,"from sqlalchemy.orm import Session

def find_product(db: Session, product_id: int):
    return db.query(Product).filter(Product.id == product_id).first()"
sample_0008,vulnerability,xss,high,XSS: User input directly embedded in HTML response without escaping.,"@app.route('/greet')
def greet():
    name = request.args.get('name', '')
    return f'<h1>Hello, {name}!</h1>'"
sample_0009,vulnerability,xss,high,XSS: Unsanitized user-generated content inserted into HTML.,"def render_comment(comment_text):
    return '<div class=""comment"">' + comment_text + '</div>'"
sample_0010,vulnerability,xss,high,XSS: dangerouslySetInnerHTML with unsanitized user input.,"# React component
function UserProfile({ user }) {
  return (
    <div dangerouslySetInnerHTML={{ __html: user.bio }} />
  );
}"
